carrier_name|id
Carrier 1040295|1135
Carrier 38605|1136
Carrier 581872|1137
Carrier 1301148|1138
Carrier 939442|1139
Carrier 34822|1140
Carrier 1307209|1141
Carrier 1019579|1142
Carrier 132245|1143
Carrier 1340577|1144
Carrier 105523|1145
Carrier 1693519|1146
Carrier 83985|1147
Carrier 1337114|1148
Carrier 821366|1149
Carrier 46177|1150
Carrier 104019|1151
Carrier 1215346|1152
Carrier 1000270|1153
Carrier 95641|1154
Carrier 1400325|1155
Carrier 1178263|1156
Carrier 1185163|1157
Carrier 90581|1158
Carrier 1367568|1159
Carrier 1352308|1160
Carrier 158675|1161
Carrier 10209|1162
Carrier 131313|1163
Carrier 108547|1164
Carrier 1564828|1165
Carrier 1378831|1166
Carrier 92971|1167
Carrier 1353061|1168
Carrier 1403410|1169
Carrier 1069080|1170
Carrier 1396474|1171
Carrier 951529|1172
Carrier 982751|1173
Carrier 1039260|1174
Carrier 1011047|1175
Carrier 1469538|1176
Carrier 953158|1177
Carrier 1358174|1178
Carrier 1695170|1179
Carrier 972866|1180
Carrier 1695169|1181
Carrier 30958|1182
Carrier 1290961|1183
Carrier 1033226|1184
Carrier 701464|1185
Carrier 1695268|1186
Carrier 1629986|1187
Carrier 1114859|1188
Carrier 600064|1189
Carrier 981809|1190
Carrier 119248|1191
Carrier 1034464|1192
Carrier 1634228|1193
Carrier 19266|1194
Carrier 1240012|1195
Carrier 1695424|1196
Carrier 112737|1197
Carrier 1370978|1198
Carrier 1295571|1199
Carrier 1014370|1200
Carrier 1122319|1201
Carrier 46076|1202
Carrier 158266|1203
Carrier 48769|1204
Carrier 1318140|1205
Carrier 102506|1206
Carrier 1352546|1207
Carrier 13487|1208
Carrier 804095|1209
Carrier 1695811|1210
Carrier 8900|1211
Carrier 77178|1212
Carrier 1375891|1213
Carrier 1315994|1214
Carrier 1331463|1215
Carrier 1471981|1216
Carrier 33983|1217
Carrier 1389244|1218
Carrier 1028105|1219
Carrier 1538656|1220
Carrier 1694588|1221
Carrier 851632|1222
Carrier 1081444|1223
Carrier 1428438|1224
Carrier 1695232|1225
Carrier 3939|1226
Carrier 13940|1227
Carrier 68046|1228
Carrier 3306|1229
Carrier 1350322|1230
Carrier 1693505|1231
Carrier 1023795|1232
Carrier 1343762|1233
