lane|id|pickup|delivery
Tampa,FL -> Santa Ana,CA|278|Tampa,FL|Santa Ana,CA
Aurora,CO -> Hayden,ID|279|Aurora,CO|Hayden,ID
St. Louis,MO -> Thief River Falls,MN|280|St. Louis,MO|Thief River Falls,MN
Sycamore,IL -> Plant City,FL|281|Sycamore,IL|Plant City,FL
Plainfield,IL -> Cleveland,NC|282|Plainfield,IL|Cleveland,NC
Plant City,FL -> Woodbridge Township,NJ|283|Plant City,FL|Woodbridge Township,NJ
Granite City,IL -> Muskegon Heights,MI|284|Granite City,IL|Muskegon Heights,MI
Houston,TX -> Rock Springs,WY|285|Houston,TX|Rock Springs,WY
Fort Collins,CO -> Great Falls,MT|286|Fort Collins,CO|Great Falls,MT
Colonial Heights,VA -> Fort Pierce,FL|287|Colonial Heights,VA|Fort Pierce,FL
St. Louis,MO -> Devils Lake,ND|288|St. Louis,MO|Devils Lake,ND
Fort Collins,CO -> Elkton,MD|289|Fort Collins,CO|Elkton,MD
Bolingbrook,IL -> Commerce,GA|290|Bolingbrook,IL|Commerce,GA
Bolingbrook,IL -> York,PA|291|Bolingbrook,IL|York,PA
Plant City,FL -> Monroe Township,NJ|292|Plant City,FL|Monroe Township,NJ
Bolingbrook,IL -> Buford,GA|293|Bolingbrook,IL|Buford,GA
Granite City,IL -> Thief River Falls,MN|294|Granite City,IL|Thief River Falls,MN
Aurora,CO -> Rock Springs,WY|295|Aurora,CO|Rock Springs,WY
Whitakers,NC -> Laredo,TX|296|Whitakers,NC|Laredo,TX
Sioux City,IA -> Lubbock,TX|297|Sioux City,IA|Lubbock,TX
North Charleston,SC -> Swedesboro,NJ|298|North Charleston,SC|Swedesboro,NJ
Denver,CO -> Layton,UT|299|Denver,CO|Layton,UT
Green Bay,WI -> Baldwinsville,NY|300|Green Bay,WI|Baldwinsville,NY
Santa Ana,CA -> Mount Sterling,IL|301|Santa Ana,CA|Mount Sterling,IL
St. Louis,MO -> Mobile,AL|302|St. Louis,MO|Mobile,AL
Sioux City,IA -> Nicholasville,KY|303|Sioux City,IA|Nicholasville,KY
Granite City,IL -> Highland Park,MI|304|Granite City,IL|Highland Park,MI
Phoenix,AZ -> Millwood,WV|305|Phoenix,AZ|Millwood,WV
Pleasant Prairie,WI -> Fort Collins,CO|306|Pleasant Prairie,WI|Fort Collins,CO
Fort Collins,CO -> Union Gap,WA|307|Fort Collins,CO|Union Gap,WA
Jacksonville,FL -> Rochester,MN|308|Jacksonville,FL|Rochester,MN
Baldwinsville,NY -> Idaho Falls,ID|309|Baldwinsville,NY|Idaho Falls,ID
Houston,TX -> Rifle,CO|310|Houston,TX|Rifle,CO
Williamsburg,VA -> Midway,FL|311|Williamsburg,VA|Midway,FL
Bloomington,CA -> Phoenix,AZ|312|Bloomington,CA|Phoenix,AZ
Janesville,WI -> Houston,TX|313|Janesville,WI|Houston,TX
Erie,PA -> Perry,GA|314|Erie,PA|Perry,GA
Sterling,VA -> Plant City,FL|315|Sterling,VA|Plant City,FL
Mount Sterling,IL -> Pittston,PA|316|Mount Sterling,IL|Pittston,PA
Wilkes-Barre,PA -> Boca Raton,FL|317|Wilkes-Barre,PA|Boca Raton,FL
Warren,OH -> Mount Holly,NC|318|Warren,OH|Mount Holly,NC
Bellevue,WA -> Irvine,CA|319|Bellevue,WA|Irvine,CA
Los Angeles,CA -> Medford,OR|320|Los Angeles,CA|Medford,OR
Granite City,IL -> Houston,TX|321|Granite City,IL|Houston,TX
Stockton,CA -> Pacific,WA|322|Stockton,CA|Pacific,WA
Granite City,IL -> Minot,ND|323|Granite City,IL|Minot,ND
